size,variant,threads,time,speedup
1000,serial,1,37.5196,1
1000,v1,1,12.6741,2.96033
1000,v2,1,12.8877,2.91128
1000,v1,2,6.89517,5.44144
1000,v2,2,6.87956,5.45379
1000,v1,3,5.12298,7.32379
1000,v2,3,5.15524,7.27796
1000,v1,4,3.93166,9.54295
1000,v2,4,3.98115,9.42432
1000,v1,5,4.95532,7.57159
1000,v2,5,4.6419,8.08282
1000,v1,6,4.19815,8.93719
1000,v2,6,4.47565,8.38306
1000,v1,7,4.10944,9.13011
1000,v2,7,4.35868,8.60802
1000,v1,8,3.91413,9.5857
1000,v2,8,4.34411,8.6369
1000,v1,16,3.95276,9.49202
1000,v2,16,5.25995,7.13308
1000,v1,20,4.22145,8.88785
1000,v2,20,5.39477,6.95482
1000,v1,40,5.84473,6.4194
1000,v2,40,7.93003,4.73134
