size,threads,time,speedup
40000000,1,0.145979,1
40000000,2,0.031213,4.67687
40000000,3,0.031848,4.58362
40000000,4,0.030681,4.75796
40000000,5,0.028877,5.0552
40000000,6,0.031412,4.64724
40000000,7,0.031227,4.67477
40000000,8,0.028361,5.14717
40000000,16,0.031345,4.65717
40000000,20,0.02891,5.04943
40000000,40,0.027232,5.36057
80000000,1,0.207227,1
80000000,2,0.05792,3.57781
80000000,3,0.053205,3.89488
80000000,4,0.06137,3.37668
80000000,5,0.060889,3.40336
80000000,6,0.058646,3.53352
80000000,7,0.058487,3.54313
80000000,8,0.056413,3.67339
80000000,16,0.059231,3.49862
80000000,20,0.061173,3.38756
80000000,40,0.060434,3.42898
